1758,-22.04285762504142,
1480,-22.043051631536475,
213,-22.04895012299256,
1460,-22.046507969620638,
1269,-22.055939121984956,
1672,-22.038953054445393,
630,-22.036816805406264,
429,-22.049267354263222,
131,-22.02147927129723,
1615,-22.02173917433623,
432,-22.03748908017386,
1254,-22.034350190786153,
1035,-22.004321225132006,
561,-22.03838300729901,
248,-22.043082394138807,
148,-22.018789160515954,
591,-22.040763126087693,
985,-22.031026739803547,
94,-22.046744614415246,
816,-22.054011496757465,
optimal values: -22.04285762504142, -22.043051631536475, -22.04895012299256, -22.046507969620638, -22.055939121984956, -22.038953054445393, -22.036816805406264, -22.049267354263222, -22.02147927129723, -22.02173917433623, -22.03748908017386, -22.034350190786153, -22.004321225132006, -22.03838300729901, -22.043082394138807, -22.018789160515954, -22.040763126087693, -22.031026739803547, -22.046744614415246, -22.054011496757465, 
minimum achieved: -22.055939121984956
